# Dis3L2select_12May2020_taxa.txt
# Taxonomic information for Dis3L2/Ssd1 homologs
# Edward.Wallace@ed.ac.uk, 12 May 2020
# 
ID	Organism	Info	Clade	Extension
EPB83540.1	Mucor circinelloides	EPB83540.1 hypothetical protein HMPREF1544_09701 [Mucor circinelloides f. circinelloides 1006PhL]	Mucoromycota	
OBZ88622.1	Choanephora cucurbitarum	OBZ88622.1 Virulence protein SSD1 [Choanephora cucurbitarum]	Mucoromycota	
EIE84692.1	Rhizopus delemar	EIE84692.1 hypothetical protein RO3G_09402 [Rhizopus delemar RA 99-880]	Mucoromycota	
EIE90034.1	Rhizopus delemar	EIE90034.1 hypothetical protein RO3G_14745 [Rhizopus delemar RA 99-880]	Mucoromycota	
CDH57086.1	Lichtheimia corymbifera	CDH57086.1 rnb-domain-containing protein [Lichtheimia corymbifera JMRC:FSU:9682]	Mucoromycota	
OBZ85465.1	Choanephora cucurbitarum	OBZ85465.1 Virulence protein SSD1 [Choanephora cucurbitarum]	Mucoromycota	
EPB85527.1	Mucor circinelloides	EPB85527.1 hypothetical protein HMPREF1544_07710 [Mucor circinelloides f. circinelloides 1006PhL]	Mucoromycota	
CDH59155.1	Lichtheimia corymbifera	CDH59155.1 rnb-domain-containing protein [Lichtheimia corymbifera JMRC:FSU:9682]	Mucoromycota	
XP_018299381.1	Phycomyces blakesleeanus	XP_018299381.1 hypothetical protein PHYBLDRAFT_69841 [Phycomyces blakesleeanus NRRL 1555(-)]	Mucoromycota	
EIE86185.1	Rhizopus delemar	EIE86185.1 hypothetical protein RO3G_10896 [Rhizopus delemar RA 99-880]	Mucoromycota	
ORY51419.1	Rhizoclosmatium globosum	ORY51419.1 RNB-domain-containing protein [Rhizoclosmatium globosum]	Other fungi	
XP_006676968.1	Batrachochytrium dendrobatidis	XP_006676968.1 uncharacterized protein BATDEDRAFT_86346 [Batrachochytrium dendrobatidis JAM81]	Other fungi	
XP_030837613.1	Strongylocentrotus purpuratus	XP_030837613.1 DIS3-like exonuclease 2 [Strongylocentrotus purpuratus]	Other opisthokonta	Dis3L2
NP_689596.4	Homo sapiens	NP_689596.4 DIS3-like exonuclease 2 isoform 1 [Homo sapiens]	Other opisthokonta	Dis3L2
XP_004996901.1	Salpingoeca rosetta	XP_004996901.1 uncharacterized protein PTSG_02410 [Salpingoeca rosetta]	Other opisthokonta	
XP_001744174.1	Monosiga brevicollis	XP_001744174.1 uncharacterized protein MONBRDRAFT_15826 [Monosiga brevicollis MX1]	Other opisthokonta	
NP_498160.2	Caenorhabditis elegans	NP_498160.2 DIS3-like exonuclease 2 [Caenorhabditis elegans]	Other opisthokonta	
XP_004343707.2	Capsaspora owczarzaki	XP_004343707.2 DIS3-like exonuclease 2 [Capsaspora owczarzaki ATCC 30864]	Other opisthokonta	
KNE56473.1	Allomyces macrogynus	KNE56473.1 VacB and RNase II family 3'-5' exoribonuclease [Allomyces macrogynus ATCC 38327]	Other fungi	
KNE54823.1	Allomyces macrogynus	KNE54823.1 VacB and RNase II family 3'-5' exoribonuclease [Allomyces macrogynus ATCC 38327]	Other fungi	
PIA17543.1	Coemansia reversa	PIA17543.1 RNB-domain-containing protein [Coemansia reversa NRRL 1564]	Other fungi	
ORY85672.1	Protomyces lactucaedebilis	ORY85672.1 hypothetical protein BCR37DRAFT_412363 [Protomyces lactucaedebilis]	Taphrinomycotina	
O14040.1	Schizosaccharomyces pombe	O14040.1 RecName: Full=DIS3-like exonuclease 2 [Schizosaccharomyces pombe 972h-]	Taphrinomycotina	Dis3L2
XP_002175003.1	Schizosaccharomyces japonicus	XP_002175003.1 ribonuclease II family protein [Schizosaccharomyces japonicus yFS275]	Taphrinomycotina	
XP_020435989.1	Heterostelium album	XP_020435989.1 Hypothetical ribonuclease II domain containing protein [Heterostelium album PN500]	Amoebozoa	
XP_641919.1	Dictyostelium discoideum	XP_641919.1 hypothetical protein DDB_G0278757 [Dictyostelium discoideum AX4]	Amoebozoa	
XP_003283598.1	Dictyostelium purpureum	XP_003283598.1 hypothetical protein DICPUDRAFT_96430 [Dictyostelium purpureum]	Amoebozoa	
XP_004361707.1	Cavenderia fasciculata	XP_004361707.1 Hypothetical ribonuclease II domain containing protein [Cavenderia fasciculata]	Amoebozoa	
XP_004367466.1	Acanthamoeba castellanii	XP_004367466.1 RNB family domain containing protein [Acanthamoeba castellanii str. Neff]	Amoebozoa	
CDH60622.1	Lichtheimia corymbifera	CDH60622.1 rnb-domain-containing protein [Lichtheimia corymbifera JMRC:FSU:9682]	Mucoromycota	
OBZ83949.1	Choanephora cucurbitarum	OBZ83949.1 hypothetical protein A0J61_08000 [Choanephora cucurbitarum]	Mucoromycota	
EPB90552.1	Mucor circinelloides	EPB90552.1 hypothetical protein HMPREF1544_02612 [Mucor circinelloides f. circinelloides 1006PhL]	Mucoromycota	
EIE80403.1	Rhizopus delemar	EIE80403.1 hypothetical protein RO3G_05108 [Rhizopus delemar RA 99-880]	Mucoromycota	
XP_001728646.1	Malassezia globosa	XP_001728646.1 hypothetical protein MGL_4207 [Malassezia globosa CBS 7966]	Basidiomycota	
KXN68223.1	Conidiobolus coronatus	KXN68223.1 RNB-domain-containing protein [Conidiobolus coronatus NRRL 28638]	Other fungi	
ORX43377.1	Piromyces finnis	ORX43377.1 RNB-domain-containing protein [Piromyces finnis]	Other fungi	
ORY24922.1	Neocallimastix californiae	ORY24922.1 RNB-domain-containing protein [Neocallimastix californiae]	Other fungi	
ORY56506.1	Neocallimastix californiae	ORY56506.1 RNB-domain-containing protein [Neocallimastix californiae]	Other fungi	
ORX85520.1	Anaeromyces robustus	ORX85520.1 RNB-domain-containing protein [Anaeromyces robustus]	Other fungi	
O74454.1	Schizosaccharomyces pombe	O74454.1 RecName: Full=Protein sts5 [Schizosaccharomyces pombe 972h-]	Taphrinomycotina	sts5
XP_002173060.2	Schizosaccharomyces japonicus	XP_002173060.2 RNB-like protein [Schizosaccharomyces japonicus yFS275]	Taphrinomycotina	
O94525.1	Schizosaccharomyces pombe	O94525.1 RecName: Full=Uncharacterized ribonuclease C609.01 [Schizosaccharomyces pombe 972h-]	Taphrinomycotina	3
XP_002174298.2	Schizosaccharomyces japonicus	XP_002174298.2 ribonuclease II family protein [Schizosaccharomyces japonicus yFS275]	Taphrinomycotina	
NP_612012.1	Drosophila melanogaster	"NP_612012.1 Dis3 like 3'-5' exoribonuclease 2, isoform A [Drosophila melanogaster]"	Other opisthokonta	Dis3L2
XP_030838165.1	Strongylocentrotus purpuratus	XP_030838165.1 helicase with zinc finger domain 2-like [Strongylocentrotus purpuratus]	Other opisthokonta	ZFD2L
